c1.cui	c1.name	c1.cui	c1.name	c1.diseaseClassName	c1.STY	c1.cui	c1.name	c2.geneId	c2.name	c2.geneId	c2.name	c2.uniprotId	c2.description	c2.pathName	c2.pantherName	c2.geneId	c2.name	c0.score	c0.diseaseId	c0.score	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.pmids
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	1366	CLDN7	1366	CLDN7	O95471	claudin 7	Cell-Cell communication	cell junction protein	1366	CLDN7	0.300597116524304	umls:C0677886	0.300597116524304	1366	0.300597116524304	umls:C0677886	1366	0.300597116524304	umls:C0677886	1366	0.300597116524304	3
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	442913	MIR376C	442913	MIR376C	null	microRNA 376c	null	null	442913	MIR376C	0.3	umls:C0677886	0.3	442913	0.3	umls:C0677886	442913	0.3	umls:C0677886	442913	0.3	1
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	7157	TP53	7157	TP53	P04637	tumor protein p53	Apoptosis; Cell Cycle; Cellular responses to stress; Hemostasis; Signal Transduction	transcription factor	7157	TP53	0.0500580729192161	umls:C0677886	0.0500580729192161	7157	0.0500580729192161	umls:C0677886	7157	0.0500580729192161	umls:C0677886	7157	0.0500580729192161	136
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	672	BRCA1	672	BRCA1	P38398	breast cancer 1, early onset	Cell Cycle; DNA Repair	ligase	672	BRCA1	0.0336043258283559	umls:C0677886	0.0336043258283559	672	0.0336043258283559	umls:C0677886	672	0.0336043258283559	umls:C0677886	672	0.0336043258283559	102
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	675	BRCA2	675	BRCA2	P51587	breast cancer 2, early onset	Cell Cycle; DNA Repair	nucleic acid binding	675	BRCA2	0.0156908300992318	umls:C0677886	0.0156908300992318	675	0.0156908300992318	umls:C0677886	675	0.0156908300992318	umls:C0677886	675	0.0156908300992318	42
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	7422	VEGFA	7422	VEGFA	P15692	vascular endothelial growth factor A	Cellular responses to stress; Hemostasis; Signal Transduction	signaling molecule	7422	VEGFA	0.0136009222641673	umls:C0677886	0.0136009222641673	7422	0.0136009222641673	umls:C0677886	7422	0.0136009222641673	umls:C0677886	7422	0.0136009222641673	35
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	94025	MUC16	94025	MUC16	Q8WXI7	mucin 16, cell surface associated	Metabolism of proteins	null	94025	MUC16	0.0109138979047987	umls:C0677886	0.0109138979047987	94025	0.0109138979047987	umls:C0677886	94025	0.0109138979047987	umls:C0677886	94025	0.0109138979047987	26
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	5241	PGR	5241	PGR	P06401	progesterone receptor	Gene Expression; Signal Transduction	transcription factor; receptor; nucleic acid binding	5241	PGR	0.0101840235856668	umls:C0677886	0.0101840235856668	5241	0.0101840235856668	umls:C0677886	5241	0.0101840235856668	umls:C0677886	5241	0.0101840235856668	12
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	1956	EGFR	1956	EGFR	P00533	epidermal growth factor receptor	Developmental Biology; Disease; Immune System; Signal Transduction	null	1956	EGFR	0.00852543180758218	umls:C0677886	0.00852543180758218	1956	0.00852543180758218	umls:C0677886	1956	0.00852543180758218	umls:C0677886	1956	0.00852543180758218	18
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	2064	ERBB2	2064	ERBB2	P04626	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2	Developmental Biology; Disease; Immune System; Signal Transduction	null	2064	ERBB2	0.00852543180758218	umls:C0677886	0.00852543180758218	2064	0.00852543180758218	umls:C0677886	2064	0.00852543180758218	umls:C0677886	2064	0.00852543180758218	18
C0677886	Ovarian epithelial cancer	C0677886	Ovarian epithelial cancer	Neoplasms;Female Urogenital Diseases and Pregnancy Complications;Endocrine System Diseases	Neoplastic Process	C0677886	Ovarian epithelial cancer	2067	ERCC1	2067	ERCC1	P07992	excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)	DNA Repair	nucleic acid binding	2067	ERCC1	0.00822687354543012	umls:C0677886	0.00822687354543012	2067	0.00822687354543012	umls:C0677886	2067	0.00822687354543012	umls:C0677886	2067	0.00822687354543012	17
