c1.cui	c1.name	c1.cui	c1.name	c1.diseaseClassName	c1.STY	c1.cui	c1.name	c2.geneId	c2.name	c2.geneId	c2.name	c2.uniprotId	c2.description	c2.pathName	c2.pantherName	c2.geneId	c2.name	c0.score	c0.diseaseId	c0.score	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.pmids
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	4297	KMT2A	4297	KMT2A	Q03164	lysine (K)-specific methyltransferase 2A	null	transferase; nucleic acid binding	4297	KMT2A	0.39964135103092	umls:C0023418	0.39964135103092	4297	0.39964135103092	umls:C0023418	4297	0.39964135103092	umls:C0023418	4297	0.39964135103092	355
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	7490	WT1	7490	WT1	P19544	Wilms tumor 1	null	transcription factor; nucleic acid binding	7490	WT1	0.340825798949025	umls:C0023418	0.340825798949025	7490	0.340825798949025	umls:C0023418	7490	0.340825798949025	umls:C0023418	7490	0.340825798949025	107
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	2944	GSTM1	2944	GSTM1	P09488	glutathione S-transferase mu 1	Metabolism	null	2944	GSTM1	0.33946517832825	umls:C0023418	0.33946517832825	2944	0.33946517832825	umls:C0023418	2944	0.33946517832825	umls:C0023418	2944	0.33946517832825	18
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	3717	JAK2	3717	JAK2	O60674	Janus kinase 2	Hemostasis; Immune System; Signal Transduction	transferase; kinase	3717	JAK2	0.324009470551382	umls:C0023418	0.324009470551382	3717	0.324009470551382	umls:C0023418	3717	0.324009470551382	umls:C0023418	3717	0.324009470551382	37
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	3558	IL2	3558	IL2	P60568	interleukin 2	Immune System	signaling molecule	3558	IL2	0.314162346710771	umls:C0023418	0.314162346710771	3558	0.314162346710771	umls:C0023418	3558	0.314162346710771	umls:C0023418	3558	0.314162346710771	41
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	5781	PTPN11	5781	PTPN11	Q06124	protein tyrosine phosphatase, non-receptor type 11	Cell-Cell communication; Developmental Biology; Disease; Hemostasis; Immune System; Signal Transduction	phosphatase; hydrolase	5781	PTPN11	0.313993896838243	umls:C0023418	0.313993896838243	5781	0.313993896838243	umls:C0023418	5781	0.313993896838243	umls:C0023418	5781	0.313993896838243	31
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	595	CCND1	595	CCND1	P24385	cyclin D1	Cell Cycle; Signal Transduction	enzyme modulator	595	CCND1	0.311676814896427	umls:C0023418	0.311676814896427	595	0.311676814896427	umls:C0023418	595	0.311676814896427	umls:C0023418	595	0.311676814896427	19
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	5728	PTEN	5728	PTEN	P60484	phosphatase and tensin homolog	Disease; Immune System; Metabolism; Signal Transduction	phosphatase; hydrolase	5728	PTEN	0.309515522905962	umls:C0023418	0.309515522905962	5728	0.309515522905962	umls:C0023418	5728	0.309515522905962	umls:C0023418	5728	0.309515522905962	18
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	2078	ERG	2078	ERG	P11308	v-ets avian erythroblastosis virus E26 oncogene homolog	null	transcription factor; signaling molecule; nucleic acid binding	2078	ERG	0.30819118146773	umls:C0023418	0.30819118146773	2078	0.30819118146773	umls:C0023418	2078	0.30819118146773	umls:C0023418	2078	0.30819118146773	20
C0023418	Leukemia	C0023418	Leukemia	Neoplasms	Neoplastic Process	C0023418	Leukemia	8743	TNFSF10	8743	TNFSF10	P50591	tumor necrosis factor (ligand) superfamily, member 10	Apoptosis	signaling molecule	8743	TNFSF10	0.30819118146773	umls:C0023418	0.30819118146773	8743	0.30819118146773	umls:C0023418	8743	0.30819118146773	umls:C0023418	8743	0.30819118146773	21
